subject,session,AcqGroup
sub-NDARAP782TVC,HBNsiteRU,1
sub-NDARAP522AFK,HBNsiteRU,1
sub-NDARAM675UR8,HBNsiteRU,1
sub-NDARAK738BGC,HBNsiteRU,1
sub-NDARAH948UF0,HBNsiteRU,1
sub-NDARAH503YG1,HBNsiteRU,1
sub-NDARAG340ERT,HBNsiteRU,1
sub-NDARAE358VBE,HBNsiteRU,1
sub-NDARAD232HVV,HBNsiteRU,1
sub-NDARAC853DTE,HBNsiteRU,1
sub-NDARAC495TJ2,HBNsiteRU,1
sub-NDARAT358XM9,HBNsiteRU,1
sub-NDARBJ159HXB,HBNsiteRU,1
sub-NDARAU708TL8,HBNsiteRU,1
sub-NDARBG831VK4,HBNsiteRU,1
sub-NDARBG574KF4,HBNsiteRU,1
sub-NDARBF176LPM,HBNsiteRU,1
sub-NDARBE123PWH,HBNsiteRU,1
sub-NDARAX272ZJL,HBNsiteRU,1
sub-NDARAW179AYF,HBNsiteRU,1
sub-NDARAV610EY3,HBNsiteRU,1
sub-NDARCY178KJP,HBNsiteRU,1
sub-NDARFA815FXE,HBNsiteRU,1
sub-NDARFA402LMW,HBNsiteRU,1
sub-NDARFA165XBV,HBNsiteRU,1
sub-NDAREX589EXG,HBNsiteRU,1
sub-NDAREX065KJU,HBNsiteRU,1
sub-NDARER970AEF,HBNsiteRU,1
sub-NDAREN667YTZ,HBNsiteRU,1
sub-NDAREK575JNM,HBNsiteRU,1
sub-NDARFA737TG6,HBNsiteRU,1
sub-NDARFB908HVX,HBNsiteRU,1
sub-NDARFU444HEF,HBNsiteRU,1
sub-NDARFT881VT6,HBNsiteRU,1
sub-NDARFR820KFF,HBNsiteRU,1
sub-NDARFR108JNB,HBNsiteRU,1
sub-NDARFN553LUV,HBNsiteRU,1
sub-NDARFK477WX9,HBNsiteRU,1
sub-NDARFF644ZGD,HBNsiteRU,1
sub-NDARFE526NK3,HBNsiteRU,1
sub-NDARFE299MWU,HBNsiteRU,1
sub-NDARFD552FRH,HBNsiteRU,1
sub-NDAREF848YWD,HBNsiteRU,1
sub-NDARDA472JE3,HBNsiteRU,1
sub-NDARDT181RP4,HBNsiteRU,1
sub-NDARDR236FWH,HBNsiteRU,1
sub-NDARDR067YMC,HBNsiteRU,1
sub-NDARDP786HE6,HBNsiteRU,1
sub-NDARDH270YR5,HBNsiteRU,1
sub-NDARDF373ZDW,HBNsiteRU,1
sub-NDARDE294HNX,HBNsiteRU,1
sub-NDARDE283PLC,HBNsiteRU,1
sub-NDARDC843HHM,HBNsiteRU,1
sub-NDARDA665DRH,HBNsiteRU,1
sub-NDARDA573XGG,HBNsiteRU,1
sub-NDARDR950CGG,HBNsiteRU,1
sub-NDARDT528ZZJ,HBNsiteRU,1
sub-NDAREF164ZUJ,HBNsiteRU,1
sub-NDARED628HMQ,HBNsiteRU,1
sub-NDAREC648WEL,HBNsiteRU,1
sub-NDAREB093GH6,HBNsiteRU,1
sub-NDARDZ010EDH,HBNsiteRU,1
sub-NDARDY150ZP9,HBNsiteRU,1
sub-NDARDX857DLB,HBNsiteRU,1
sub-NDARDW416KWZ,HBNsiteRU,1
sub-NDARDU853XZ6,HBNsiteRU,1
sub-NDARGK736HF4,HBNsiteRU,1
sub-NDARVP135ZGE,HBNsiteRU,1
sub-NDARWA433WYZ,HBNsiteRU,1
sub-NDARWA351ZE2,HBNsiteRU,1
sub-NDARVY366HWJ,HBNsiteRU,1
sub-NDARVT488RXJ,HBNsiteRU,1
sub-NDARVT454LAE,HBNsiteRU,1
sub-NDARVT072LX2,HBNsiteRU,1
sub-NDARVN920VHJ,HBNsiteRU,1
sub-NDARUA832MYV,HBNsiteRU,1
sub-NDARVN899GWP,HBNsiteRU,1
sub-NDARVK720WZ0,HBNsiteRU,1
sub-NDARWD585PRZ,HBNsiteRU,1
sub-NDARWP634RZL,HBNsiteRU,1
sub-NDARWP595TE6,HBNsiteRU,1
sub-NDARWN691CG7,HBNsiteRU,1
sub-NDARWN523GVF,HBNsiteRU,1
sub-NDARWM848AKP,HBNsiteRU,1
sub-NDARWM656UWL,HBNsiteRU,1
sub-NDARWK983JFE,HBNsiteRU,1
sub-NDARWJ498CZY,HBNsiteRU,1
sub-NDARWH779MZ2,HBNsiteRU,1
sub-NDARWH725TXP,HBNsiteRU,1
sub-NDARWG798MJG,HBNsiteRU,1
sub-NDARWD911WBU,HBNsiteRU,1
sub-NDARVG597HNL,HBNsiteRU,1
sub-NDARVD635FX8,HBNsiteRU,1
sub-NDARUM791WPF,HBNsiteRU,1
sub-NDARUL456EER,HBNsiteRU,1
sub-NDARUK329RUU,HBNsiteRU,1
sub-NDARUJ894ZXG,HBNsiteRU,1
sub-NDARUJ779NM0,HBNsiteRU,1
sub-NDARUG323DM3,HBNsiteRU,1
sub-NDARUG278FNY,HBNsiteRU,1
sub-NDARUE603CHQ,HBNsiteRU,1
sub-NDARUC851WHU,HBNsiteRU,1
sub-NDARUM797TFA,HBNsiteRU,1
sub-NDARVC716GEE,HBNsiteRU,1
sub-NDARVC310XV2,HBNsiteRU,1
sub-NDARVB842ZM8,HBNsiteRU,1
sub-NDARVA930UA3,HBNsiteRU,1
sub-NDARUZ206DRV,HBNsiteRU,1
sub-NDARUY730ANT,HBNsiteRU,1
sub-NDARUX886JLM,HBNsiteRU,1
sub-NDARUX284GGB,HBNsiteRU,1
sub-NDARUV578DU2,HBNsiteRU,1
sub-NDARUT470BM4,HBNsiteRU,1
sub-NDARUT018UYN,HBNsiteRU,1
sub-NDARUP249AMD,HBNsiteRU,1
sub-NDARWR678HLF,HBNsiteRU,1
sub-NDARYZ693DE2,HBNsiteRU,1
sub-NDARYY664KHF,HBNsiteRU,1
sub-NDARYY218LU2,HBNsiteRU,1
sub-NDARYX592YYR,HBNsiteRU,1
sub-NDARYM334BZ5,HBNsiteRU,1
sub-NDARYL758JGG,HBNsiteRU,1
sub-NDARYL124VM6,HBNsiteRU,1
sub-NDARYJ301DYN,HBNsiteRU,1
sub-NDARZW472CCF,HBNsiteRU,1
sub-NDARZW262ZLV,HBNsiteRU,1
sub-NDARZU822WN3,HBNsiteRU,1
sub-NDARZL855WVA,HBNsiteRU,1
sub-NDARZK753WGR,HBNsiteRU,1
sub-NDARZK732FZ0,HBNsiteRU,1
sub-NDARZJ603JM0,HBNsiteRU,1
sub-NDARZG690NHH,HBNsiteRU,1
sub-NDARZE685UJ5,HBNsiteRU,1
sub-NDARYG665JUD,HBNsiteRU,1
sub-NDARYG391PMU,HBNsiteRU,1
sub-NDARXG646PM9,HBNsiteRU,1
sub-NDARXG571WPL,HBNsiteRU,1
sub-NDARXF358XGE,HBNsiteRU,1
sub-NDARXF203DCD,HBNsiteRU,1
sub-NDARXD710RLN,HBNsiteRU,1
sub-NDARXD345GBN,HBNsiteRU,1
sub-NDARWZ024UYK,HBNsiteRU,1
sub-NDARWV794VM2,HBNsiteRU,1
sub-NDARWV568MEU,HBNsiteRU,1
sub-NDARWV449GEM,HBNsiteRU,1
sub-NDARWT449PUN,HBNsiteRU,1
sub-NDARYC466ER1,HBNsiteRU,1
sub-NDARYC243UW5,HBNsiteRU,1
sub-NDARYB392JWP,HBNsiteRU,1
sub-NDARXY240WJC,HBNsiteRU,1
sub-NDARXT822TAA,HBNsiteRU,1
sub-NDARXR637JER,HBNsiteRU,1
sub-NDARXP557DLJ,HBNsiteRU,1
sub-NDARUB231LHN,HBNsiteRU,1
sub-NDARZE850WXD,HBNsiteRU,1
sub-NDARTZ901LDK,HBNsiteRU,1
