subject,session,AcqGroup
NDARKU649DB7,HBNsiteCBIC,2
NDARKN633WZA,HBNsiteCBIC,2
NDARLU939YX4,HBNsiteCBIC,2
NDARLM313FVX,HBNsiteCBIC,2
NDARLM196YRG,HBNsiteCBIC,2
NDARLF446MT5,HBNsiteCBIC,2
NDARJA262HTY,HBNsiteCBIC,2
NDARJU307YHB,HBNsiteCBIC,2
NDARJF517HC8,HBNsiteCBIC,2
NDARJE678MWN,HBNsiteCBIC,2
NDARJC010YYF,HBNsiteCBIC,2
NDARJA788CH7,HBNsiteCBIC,2
NDARJA737FAJ,HBNsiteCBIC,2
NDARKL327YDQ,HBNsiteCBIC,2
NDARKF442GZ5,HBNsiteCBIC,2
NDARKB290YNY,HBNsiteCBIC,2
NDARKA958FAH,HBNsiteCBIC,2
NDARJY676CWZ,HBNsiteCBIC,2
NDARJX258XF0,HBNsiteCBIC,2
NDARFM619GTV,HBNsiteCBIC,2
NDARFM211KDJ,HBNsiteCBIC,2
NDARCC340ER5,HBNsiteCBIC,2
NDARBU098PJT,HBNsiteCBIC,2
NDARBP770MUM,HBNsiteCBIC,2
NDARCF052AE0,HBNsiteCBIC,2
NDARCR582GKJ,HBNsiteCBIC,2
NDARCN500KJG,HBNsiteCBIC,2
NDARCL008HLA,HBNsiteCBIC,2
NDARCH889NUF,HBNsiteCBIC,2
NDARCH514JCT,HBNsiteCBIC,2
NDARCG808HDJ,HBNsiteCBIC,2
NDARCG159AAP,HBNsiteCBIC,2
NDARAV187GJ5,HBNsiteCBIC,2
NDARBF851NH6,HBNsiteCBIC,2
NDARBG188RA5,HBNsiteCBIC,2
NDARBH992ARB,HBNsiteCBIC,2
NDARBK638HLZ,HBNsiteCBIC,2
NDARAT680GJA,HBNsiteCBIC,2
NDARAC350XUM,HBNsiteCBIC,2
NDARAG115LZP,HBNsiteCBIC,2
NDARAH793FBF,HBNsiteCBIC,2
NDARCV606ZZ5,HBNsiteCBIC,2
NDARCW497XW2,HBNsiteCBIC,2
NDAREN417DJE,HBNsiteCBIC,2
NDAREL410HHK,HBNsiteCBIC,2
NDAREK395BM3,HBNsiteCBIC,2
NDAREH852JE0,HBNsiteCBIC,2
NDAREF888EVV,HBNsiteCBIC,2
NDAREE675XRY,HBNsiteCBIC,2
NDAREX336AC1,HBNsiteCBIC,2
NDARFG953RRK,HBNsiteCBIC,2
NDARFG713PLR,HBNsiteCBIC,2
NDARFF061VUK,HBNsiteCBIC,2
NDARFB969EMV,HBNsiteCBIC,2
NDARFB506UJ3,HBNsiteCBIC,2
NDARFB322DRA,HBNsiteCBIC,2
NDARFA780CUG,HBNsiteCBIC,2
NDARDL305BT8,HBNsiteCBIC,2
NDARDH086ZKK,HBNsiteCBIC,2
NDARDF374LGN,HBNsiteCBIC,2
NDARDE877RFH,HBNsiteCBIC,2
NDARDE827UF0,HBNsiteCBIC,2
NDARDE597GKQ,HBNsiteCBIC,2
NDARDY776AKH,HBNsiteCBIC,2
NDARDV245WJG,HBNsiteCBIC,2
