subject,session,AcqGroup
NDARFN553LUV,HBNsiteRU,1
NDARFK477WX9,HBNsiteRU,1
NDARFF644ZGD,HBNsiteRU,1
NDARFE526NK3,HBNsiteRU,1
NDARFE299MWU,HBNsiteRU,1
NDARFD552FRH,HBNsiteRU,1
NDAREF848YWD,HBNsiteRU,1
NDARDA472JE3,HBNsiteRU,1
NDARDT181RP4,HBNsiteRU,1
NDARDR236FWH,HBNsiteRU,1
NDARDR067YMC,HBNsiteRU,1
NDARDP786HE6,HBNsiteRU,1
NDARDH270YR5,HBNsiteRU,1
NDARDF373ZDW,HBNsiteRU,1
NDARDE294HNX,HBNsiteRU,1
NDARDE283PLC,HBNsiteRU,1
NDARDC843HHM,HBNsiteRU,1
NDARDA665DRH,HBNsiteRU,1
NDARDA573XGG,HBNsiteRU,1
NDARDR950CGG,HBNsiteRU,1
NDARDT528ZZJ,HBNsiteRU,1
NDAREF164ZUJ,HBNsiteRU,1
NDARED628HMQ,HBNsiteRU,1
NDAREC648WEL,HBNsiteRU,1
NDAREB093GH6,HBNsiteRU,1
NDARDZ010EDH,HBNsiteRU,1
NDARDY150ZP9,HBNsiteRU,1
NDARDX857DLB,HBNsiteRU,1
NDARDW416KWZ,HBNsiteRU,1
NDARDU853XZ6,HBNsiteRU,1
NDARGK736HF4,HBNsiteRU,1
NDARVP135ZGE,HBNsiteRU,1
NDARWA433WYZ,HBNsiteRU,1
NDARWA351ZE2,HBNsiteRU,1
NDARVY366HWJ,HBNsiteRU,1
NDARVT488RXJ,HBNsiteRU,1
NDARVT454LAE,HBNsiteRU,1
NDARVT072LX2,HBNsiteRU,1
NDARVN920VHJ,HBNsiteRU,1
NDARUA832MYV,HBNsiteRU,1
NDARVN899GWP,HBNsiteRU,1
NDARVK720WZ0,HBNsiteRU,1
NDARWD585PRZ,HBNsiteRU,1
NDARWP634RZL,HBNsiteRU,1
NDARWP595TE6,HBNsiteRU,1
NDARWN691CG7,HBNsiteRU,1
NDARWN523GVF,HBNsiteRU,1
NDARWM848AKP,HBNsiteRU,1
NDARWM656UWL,HBNsiteRU,1
NDARWK983JFE,HBNsiteRU,1
NDARWJ498CZY,HBNsiteRU,1
NDARWH779MZ2,HBNsiteRU,1
NDARWH725TXP,HBNsiteRU,1
NDARWG798MJG,HBNsiteRU,1
NDARWD911WBU,HBNsiteRU,1
NDARVG597HNL,HBNsiteRU,1
NDARVD635FX8,HBNsiteRU,1
NDARUM791WPF,HBNsiteRU,1
NDARUL456EER,HBNsiteRU,1
NDARUK329RUU,HBNsiteRU,1
NDARUJ894ZXG,HBNsiteRU,1
NDARUJ779NM0,HBNsiteRU,1
NDARUG323DM3,HBNsiteRU,1
NDARUG278FNY,HBNsiteRU,1
NDARUE603CHQ,HBNsiteRU,1
NDARUC851WHU,HBNsiteRU,1
NDARUM797TFA,HBNsiteRU,1
NDARVC716GEE,HBNsiteRU,1
NDARVC310XV2,HBNsiteRU,1
NDARVB842ZM8,HBNsiteRU,1
NDARVA930UA3,HBNsiteRU,1
NDARUZ206DRV,HBNsiteRU,1
NDARUY730ANT,HBNsiteRU,1
NDARUX886JLM,HBNsiteRU,1
NDARUX284GGB,HBNsiteRU,1
NDARUV578DU2,HBNsiteRU,1
NDARUT470BM4,HBNsiteRU,1
NDARUT018UYN,HBNsiteRU,1
NDARUP249AMD,HBNsiteRU,1
NDARWR678HLF,HBNsiteRU,1
NDARYZ693DE2,HBNsiteRU,1
NDARYY664KHF,HBNsiteRU,1
NDARYY218LU2,HBNsiteRU,1
NDARYX592YYR,HBNsiteRU,1
NDARYM334BZ5,HBNsiteRU,1
NDARYL758JGG,HBNsiteRU,1
NDARYL124VM6,HBNsiteRU,1
NDARYJ301DYN,HBNsiteRU,1
NDARZW472CCF,HBNsiteRU,1
NDARZW262ZLV,HBNsiteRU,1
NDARZU822WN3,HBNsiteRU,1
NDARZL855WVA,HBNsiteRU,1
NDARZK753WGR,HBNsiteRU,1
NDARZK732FZ0,HBNsiteRU,1
NDARZJ603JM0,HBNsiteRU,1
NDARZG690NHH,HBNsiteRU,1
NDARZE685UJ5,HBNsiteRU,1
NDARYG665JUD,HBNsiteRU,1
NDARYG391PMU,HBNsiteRU,1
NDARXG646PM9,HBNsiteRU,1
NDARXG571WPL,HBNsiteRU,1
NDARXF358XGE,HBNsiteRU,1
NDARXF203DCD,HBNsiteRU,1
NDARXD710RLN,HBNsiteRU,1
NDARXD345GBN,HBNsiteRU,1
NDARWZ024UYK,HBNsiteRU,1
NDARWV794VM2,HBNsiteRU,1
NDARWV568MEU,HBNsiteRU,1
NDARWV449GEM,HBNsiteRU,1
NDARWT449PUN,HBNsiteRU,1
NDARYC466ER1,HBNsiteRU,1
NDARYC243UW5,HBNsiteRU,1
NDARYB392JWP,HBNsiteRU,1
NDARXY240WJC,HBNsiteRU,1
NDARXT822TAA,HBNsiteRU,1
NDARXR637JER,HBNsiteRU,1
NDARXP557DLJ,HBNsiteRU,1
NDARUB231LHN,HBNsiteRU,1
NDARZE850WXD,HBNsiteRU,1
NDARTZ901LDK,HBNsiteRU,1
NDARNT541VT2,HBNsiteRU,1
NDARNR734JZH,HBNsiteRU,1
NDARNM783ZVV,HBNsiteRU,1
NDARNM708YTF,HBNsiteRU,1
NDARNL134VF0,HBNsiteRU,1
NDARNK768THB,HBNsiteRU,1
NDARNK740ZVM,HBNsiteRU,1
NDARNK322PHW,HBNsiteRU,1
NDARNK055HVH,HBNsiteRU,1
NDARNE406XC3,HBNsiteRU,1
NDARNE196LV0,HBNsiteRU,1
NDARND697FLK,HBNsiteRU,1
NDARPE056ACA,HBNsiteRU,1
NDARPD029JVJ,HBNsiteRU,1
NDARPB619PHV,HBNsiteRU,1
NDARPA570LBF,HBNsiteRU,1
NDARNZ792HBN,HBNsiteRU,1
NDARND348HB3,HBNsiteRU,1
NDARMN302YAV,HBNsiteRU,1
NDARMM951YEH,HBNsiteRU,1
NDARMM326JCB,HBNsiteRU,1
NDARMM137PT6,HBNsiteRU,1
NDARMM005DLK,HBNsiteRU,1
NDARML024FF2,HBNsiteRU,1
NDARMK416UUQ,HBNsiteRU,1
NDARMJ849UKD,HBNsiteRU,1
NDARMJ334ZK3,HBNsiteRU,1
NDARMG196KV4,HBNsiteRU,1
NDARMF508PA2,HBNsiteRU,1
NDARME736MN8,HBNsiteRU,1
NDARMN376BMF,HBNsiteRU,1
NDARNC561KDP,HBNsiteRU,1
NDARMZ687XRR,HBNsiteRU,1
NDARMY294VNE,HBNsiteRU,1
NDARMY254BGN,HBNsiteRU,1
NDARMV274TAY,HBNsiteRU,1
NDARMT784NED,HBNsiteRU,1
NDARMT732GKM,HBNsiteRU,1
NDARMR039JV5,HBNsiteRU,1
NDARPH834YB1,HBNsiteRU,1
NDARTK691PJJ,HBNsiteRU,1
NDARTH473LF8,HBNsiteRU,1
NDARTG396FGE,HBNsiteRU,1
NDARTC865YNZ,HBNsiteRU,1
NDARRZ927VC3,HBNsiteRU,1
NDARRY268AF2,HBNsiteRU,1
NDARRX819BZ0,HBNsiteRU,1
NDARRW951BYF,HBNsiteRU,1
NDARTK834FT9,HBNsiteRU,1
NDARRV941EAC,HBNsiteRU,1
NDARTK933KL9,HBNsiteRU,1
NDARTY225EWV,HBNsiteRU,1
NDARTW889JN9,HBNsiteRU,1
NDARTW850GHU,HBNsiteRU,1
NDARTU777GVV,HBNsiteRU,1
NDARTT272WT5,HBNsiteRU,1
NDARTT194LTU,HBNsiteRU,1
NDARTN487KDK,HBNsiteRU,1
NDARTN173MXV,HBNsiteRU,1
NDARRV837BZQ,HBNsiteRU,1
NDARPZ344ZGE,HBNsiteRU,1
NDARPW915RGD,HBNsiteRU,1
NDARPW786GC4,HBNsiteRU,1
NDARPW313LAJ,HBNsiteRU,1
NDARPV303LAX,HBNsiteRU,1
NDARPV145KGL,HBNsiteRU,1
