subject,session,AcqGroup
sub-2175309663,PNC1,1
sub-2172281415,PNC1,1
sub-2171240541,PNC1,1
sub-2171168019,PNC1,1
sub-2170880573,PNC1,1
sub-2170759229,PNC1,1
sub-2166835733,PNC1,1
sub-2333477346,PNC1,1
sub-2654954754,PNC1,1
sub-2585124211,PNC1,1
sub-2556918590,PNC1,1
sub-2555837927,PNC1,1
sub-2551635949,PNC1,1
sub-2539774514,PNC1,1
sub-2539603725,PNC1,1
sub-2537779643,PNC1,1
sub-2533255886,PNC1,1
sub-2529143538,PNC1,1
sub-2518846638,PNC1,1
sub-2511291760,PNC1,1
sub-2508284118,PNC1,1
sub-2507776631,PNC1,1
sub-2499963942,PNC1,1
sub-2498589740,PNC1,1
sub-2470886822,PNC1,1
sub-2564511370,PNC1,1
sub-2586296094,PNC1,1
sub-2588038141,PNC1,1
sub-2650375172,PNC1,1
sub-2649991749,PNC1,1
sub-2647545200,PNC1,1
sub-2646855369,PNC1,1
sub-2645905397,PNC1,1
sub-2639722173,PNC1,1
sub-2625808132,PNC1,1
sub-2620895813,PNC1,1
sub-2614145086,PNC1,1
sub-2613113832,PNC1,1
sub-2610067614,PNC1,1
sub-2604857252,PNC1,1
sub-2593612027,PNC1,1
sub-2589790495,PNC1,1
sub-2588900615,PNC1,1
sub-2588125611,PNC1,1
sub-2469426313,PNC1,1
sub-2464767924,PNC1,1
sub-2333937949,PNC1,1
sub-2404418579,PNC1,1
sub-2402029124,PNC1,1
sub-2398605805,PNC1,1
sub-2397937510,PNC1,1
sub-2397365139,PNC1,1
sub-2394345225,PNC1,1
sub-2392768937,PNC1,1
sub-2390107820,PNC1,1
sub-2385983560,PNC1,1
sub-2375649228,PNC1,1
sub-2374556661,PNC1,1
sub-2367528097,PNC1,1
sub-2365721251,PNC1,1
sub-2359486867,PNC1,1
sub-2351609522,PNC1,1
sub-2344269626,PNC1,1
sub-2340561949,PNC1,1
sub-2336714673,PNC1,1
sub-2403464508,PNC1,1
sub-2404507707,PNC1,1
sub-2461687277,PNC1,1
sub-2449123338,PNC1,1
sub-2446607895,PNC1,1
sub-2442304782,PNC1,1
sub-2437115295,PNC1,1
sub-2435244873,PNC1,1
sub-2433433960,PNC1,1
sub-2428446542,PNC1,1
sub-2425606479,PNC1,1
sub-2424990755,PNC1,1
sub-2422512134,PNC1,1
sub-2422503990,PNC1,1
sub-2420532406,PNC1,1
sub-2413176236,PNC1,1
sub-3209198339,PNC1,1
sub-3213518740,PNC1,1
sub-3906575236,PNC1,1
sub-3902996821,PNC1,1
sub-3901605230,PNC1,1
sub-3896564969,PNC1,1
sub-3891584278,PNC1,1
sub-3888585994,PNC1,1
sub-3885398873,PNC1,1
sub-3880738222,PNC1,1
sub-3880233477,PNC1,1
sub-3876784770,PNC1,1
sub-3870295870,PNC1,1
sub-3870273492,PNC1,1
sub-3869583798,PNC1,1
sub-3867546625,PNC1,1
sub-3866325191,PNC1,1
sub-3859141450,PNC1,1
sub-3906186680,PNC1,1
sub-3909015218,PNC1,1
sub-3851803705,PNC1,1
sub-3914722336,PNC1,1
sub-3970800099,PNC1,1
sub-3932933674,PNC1,1
sub-3931956861,PNC1,1
sub-3930335526,PNC1,1
sub-3926498329,PNC1,1
sub-3925565817,PNC1,1
sub-3925151495,PNC1,1
sub-3923883359,PNC1,1
sub-3921457149,PNC1,1
sub-3920704580,PNC1,1
sub-3917353122,PNC1,1
sub-3915422918,PNC1,1
sub-3856077977,PNC1,1
sub-3847306693,PNC1,1
sub-3984163767,PNC1,1
sub-3800855923,PNC1,1
sub-3782270648,PNC1,1
sub-3778541583,PNC1,1
sub-3778234840,PNC1,1
sub-3777345255,PNC1,1
sub-3769010696,PNC1,1
sub-3763213896,PNC1,1
sub-3761349403,PNC1,1
sub-3756388677,PNC1,1
sub-3753613715,PNC1,1
sub-3753452353,PNC1,1
sub-3749102689,PNC1,1
sub-3748226758,PNC1,1
sub-3747270459,PNC1,1
sub-3746502009,PNC1,1
sub-3745413288,PNC1,1
sub-3744723479,PNC1,1
sub-3744667754,PNC1,1
sub-3744541693,PNC1,1
sub-3793444603,PNC1,1
sub-3806576780,PNC1,1
sub-3846816171,PNC1,1
sub-3807715038,PNC1,1
sub-3840869169,PNC1,1
sub-3840308617,PNC1,1
sub-3837482902,PNC1,1
sub-3836403514,PNC1,1
sub-3830031504,PNC1,1
sub-3829047511,PNC1,1
sub-3827457731,PNC1,1
sub-3822559318,PNC1,1
sub-3818720350,PNC1,1
sub-3816691265,PNC1,1
sub-3815131512,PNC1,1
sub-3813030131,PNC1,1
sub-3810009389,PNC1,1
sub-3809989470,PNC1,1
sub-3809027065,PNC1,1
sub-3808965674,PNC1,1
sub-3982145425,PNC1,1
sub-3985888022,PNC1,1
sub-4211615439,PNC1,1
sub-4199436321,PNC1,1
sub-4198853043,PNC1,1
sub-4197093898,PNC1,1
sub-4196412787,PNC1,1
sub-4196310650,PNC1,1
sub-4193918219,PNC1,1
sub-4190952364,PNC1,1
sub-4187823334,PNC1,1
sub-4187598678,PNC1,1
sub-4182146714,PNC1,1
sub-4177765106,PNC1,1
sub-4174857942,PNC1,1
sub-4172321775,PNC1,1
sub-4167756410,PNC1,1
sub-4164375240,PNC1,1
sub-4163093414,PNC1,1
sub-4208420410,PNC1,1
sub-4215014897,PNC1,1
sub-4160147836,PNC1,1
sub-4216533717,PNC1,1
sub-4288775453,PNC1,1
sub-4288368085,PNC1,1
sub-4286784089,PNC1,1
sub-4285804772,PNC1,1
sub-4285301913,PNC1,1
sub-4284483827,PNC1,1
sub-4284367721,PNC1,1
sub-4276974103,PNC1,1
sub-4269796936,PNC1,1
sub-4269306166,PNC1,1
sub-4264683889,PNC1,1
sub-4259136159,PNC1,1
sub-4250731906,PNC1,1
sub-4242587695,PNC1,1
sub-4240185446,PNC1,1
sub-4239005932,PNC1,1
sub-4238772277,PNC1,1
sub-4160502168,PNC1,1
sub-4144391965,PNC1,1
sub-3991005721,PNC1,1
sub-4083266820,PNC1,1
sub-4069824072,PNC1,1
sub-4069098061,PNC1,1
sub-4065001465,PNC1,1
sub-4063155703,PNC1,1
sub-4061437282,PNC1,1
sub-4060589852,PNC1,1
sub-4040716945,PNC1,1
sub-4040147816,PNC1,1
sub-4039829353,PNC1,1
sub-4031942322,PNC1,1
sub-4026910516,PNC1,1
sub-4026391232,PNC1,1
sub-4020664673,PNC1,1
sub-4016765342,PNC1,1
sub-4006534625,PNC1,1
sub-3996598573,PNC1,1
sub-3995554858,PNC1,1
sub-3993637691,PNC1,1
sub-4080403633,PNC1,1
sub-4083814481,PNC1,1
sub-4137147732,PNC1,1
sub-4137052624,PNC1,1
sub-4136155069,PNC1,1
sub-4135739225,PNC1,1
sub-4133213633,PNC1,1
sub-4122649464,PNC1,1
sub-4118326689,PNC1,1
sub-4117238293,PNC1,1
sub-4113417726,PNC1,1
sub-4108002155,PNC1,1
sub-4107507507,PNC1,1
sub-4106746357,PNC1,1
sub-4100540491,PNC1,1
sub-4099541746,PNC1,1
sub-4099417558,PNC1,1
sub-4095893651,PNC1,1
sub-4093356685,PNC1,1
sub-4093108110,PNC1,1
sub-4090691856,PNC1,1
sub-4085341874,PNC1,1
sub-3743427092,PNC1,1
sub-3735452556,PNC1,1
sub-3381441522,PNC1,1
sub-3377759088,PNC1,1
sub-3370689672,PNC1,1
sub-3359871584,PNC1,1
sub-3357695482,PNC1,1
sub-3354511550,PNC1,1
sub-3351164964,PNC1,1
sub-3349861642,PNC1,1
sub-3346511370,PNC1,1
sub-3346107281,PNC1,1
sub-3345297865,PNC1,1
sub-3342182273,PNC1,1
sub-3340124957,PNC1,1
sub-3386202055,PNC1,1
sub-3392963865,PNC1,1
sub-3337257001,PNC1,1
sub-3410508529,PNC1,1
sub-3459140306,PNC1,1
sub-3458965699,PNC1,1
sub-3452453842,PNC1,1
sub-3451752350,PNC1,1
sub-3450122487,PNC1,1
sub-3445216767,PNC1,1
sub-3443950251,PNC1,1
sub-3443753647,PNC1,1
sub-3441116881,PNC1,1
sub-3439727076,PNC1,1
sub-3438308617,PNC1,1
sub-3437461935,PNC1,1
sub-3428149887,PNC1,1
sub-3419043004,PNC1,1
sub-3410682651,PNC1,1
sub-3410668296,PNC1,1
sub-3410573615,PNC1,1
sub-3338094212,PNC1,1
sub-3733778000,PNC1,1
sub-3245954075,PNC1,1
sub-3245755395,PNC1,1
sub-3245338991,PNC1,1
sub-3241674953,PNC1,1
sub-3236504015,PNC1,1
sub-3234586495,PNC1,1
sub-3234489701,PNC1,1
sub-3227202635,PNC1,1
sub-3221624404,PNC1,1
sub-3221434093,PNC1,1
sub-3220670955,PNC1,1
sub-3219790231,PNC1,1
sub-3218515872,PNC1,1
sub-3249817543,PNC1,1
sub-3253387239,PNC1,1
sub-3327313154,PNC1,1
sub-3317140614,PNC1,1
sub-3316130924,PNC1,1
sub-3298815936,PNC1,1
sub-3297348664,PNC1,1
sub-3290096905,PNC1,1
sub-3289562482,PNC1,1
sub-3289273628,PNC1,1
sub-3288745244,PNC1,1
sub-3279245901,PNC1,1
sub-3277181789,PNC1,1
sub-3275217080,PNC1,1
sub-3271604994,PNC1,1
sub-3266753211,PNC1,1
sub-3264978932,PNC1,1
sub-3264624310,PNC1,1
sub-3262225790,PNC1,1
sub-3260871738,PNC1,1
sub-3468032341,PNC1,1
sub-3470362520,PNC1,1
sub-3678218578,PNC1,1
sub-3670726676,PNC1,1
sub-3670092995,PNC1,1
sub-3669543341,PNC1,1
sub-3666908232,PNC1,1
sub-3655426254,PNC1,1
sub-3653965527,PNC1,1
sub-3647998632,PNC1,1
sub-3644730316,PNC1,1
sub-3637736036,PNC1,1
sub-3635306093,PNC1,1
sub-3625162682,PNC1,1
sub-3621702873,PNC1,1
sub-3614947229,PNC1,1
sub-3612049856,PNC1,1
sub-3675945478,PNC1,1
sub-3683182920,PNC1,1
sub-3470445476,PNC1,1
sub-3685268115,PNC1,1
sub-3733544876,PNC1,1
sub-3732485344,PNC1,1
sub-3731824395,PNC1,1
sub-3730474103,PNC1,1
sub-3726776317,PNC1,1
sub-3724155829,PNC1,1
sub-3724047858,PNC1,1
sub-3722539437,PNC1,1
sub-3719615756,PNC1,1
sub-3716972371,PNC1,1
sub-3712060241,PNC1,1
sub-3711850368,PNC1,1
sub-3706183788,PNC1,1
sub-3704894948,PNC1,1
sub-3704095570,PNC1,1
sub-3703469018,PNC1,1
sub-3696718394,PNC1,1
sub-3694822252,PNC1,1
sub-3691492943,PNC1,1
sub-3607981599,PNC1,1
sub-3606976091,PNC1,1
sub-3605497536,PNC1,1
sub-3604691191,PNC1,1
sub-3524638841,PNC1,1
sub-3512003246,PNC1,1
sub-3511452762,PNC1,1
sub-3511384247,PNC1,1
sub-3506926170,PNC1,1
sub-3506213723,PNC1,1
sub-3501955380,PNC1,1
sub-3498378981,PNC1,1
sub-3498010347,PNC1,1
sub-3495559578,PNC1,1
sub-3482208722,PNC1,1
sub-3481634232,PNC1,1
sub-3477990078,PNC1,1
sub-3474496151,PNC1,1
sub-3474248854,PNC1,1
sub-3530244209,PNC1,1
