subject,session,AcqGroup
sub-20373,1,1
sub-20377,1,1
sub-20378,1,1
sub-20378,2,1
sub-20380,1,1
sub-20382,1,1
sub-20382,2,1
sub-20388,1,1
sub-20391,1,1
sub-20396,1,1
sub-20400,1,1
sub-20372,1,1
sub-20369,1,1
sub-20366,2,1
sub-20331,2,1
sub-20332,1,1
sub-20332,2,1
sub-20336,1,1
sub-20338,2,1
sub-20343,1,1
sub-20366,1,1
sub-20355,1,1
sub-20360,1,1
sub-20361,1,1
sub-20365,1,1
sub-20365,2,1
sub-20466,1,1
sub-20467,1,1
sub-20467,2,1
sub-20469,1,1
sub-20480,1,1
sub-20482,2,1
sub-20487,1,1
sub-20489,2,1
sub-20504,1,1
sub-20461,2,1
sub-20461,1,1
sub-20460,1,1
sub-20431,1,1
sub-20430,1,1
sub-20437,1,1
sub-20456,2,1
sub-20442,2,1
sub-20445,1,1
sub-20446,2,1
sub-20451,1,1
sub-20453,2,1
sub-20329,1,1
sub-20326,1,1
sub-20324,1,1
sub-20198,2,1
sub-20208,1,1
sub-20212,1,1
sub-20213,2,1
sub-20214,1,1
sub-20214,2,1
sub-20222,1,1
sub-20228,1,1
sub-20228,2,1
sub-20230,1,1
sub-20230,2,1
sub-20195,1,1
sub-20168,2,1
sub-20157,1,1
sub-20160,1,1
sub-20160,2,1
sub-20161,1,1
sub-20163,1,1
sub-20163,2,1
sub-20170,2,1
sub-20191,1,1
sub-20178,2,1
sub-20182,2,1
sub-20184,2,1
sub-20232,1,1
sub-20237,1,1
sub-20245,1,1
sub-20295,2,1
sub-20298,1,1
sub-20302,1,1
sub-20302,2,1
sub-20303,1,1
sub-20306,1,1
sub-20294,1,1
sub-20311,2,1
sub-20322,1,1
sub-20322,2,1
sub-20323,1,1
sub-20295,1,1
sub-20293,1,1
sub-20245,2,1
sub-20274,1,1
sub-20255,1,1
sub-20263,1,1
sub-20263,2,1
sub-20270,2,1
sub-20271,1,1
sub-20279,1,1
sub-20284,1,1
sub-20284,2,1
sub-20291,1,1
sub-207452,2,1
sub-10791,1,2
sub-10825,1,2
sub-10806,1,2
sub-10808,1,2
sub-10814,1,2
sub-10819,1,2
sub-10820,1,2
sub-10821,1,2
sub-10826,1,2
sub-10798,1,2
sub-10829,1,2
sub-10830,1,2
sub-10832,1,2
sub-10841,1,2
sub-10845,1,2
sub-10856,1,2
sub-10800,1,2
sub-10867,1,2
sub-10779,1,2
sub-10761,1,2
sub-10762,1,2
sub-10763,1,2
sub-10772,1,2
sub-10774,1,2
sub-10782,1,2
sub-10794,1,2
sub-10785,1,2
sub-10786,1,2
sub-10790,1,2
sub-10792,1,2
sub-10860,1,2
sub-10869,1,2
sub-10754,1,2
sub-10987,1,2
sub-10969,1,2
sub-10970,1,2
sub-10973,1,2
sub-10979,1,2
sub-10981,1,2
sub-10984,1,2
sub-10990,1,2
sub-10961,1,2
sub-11005,1,2
sub-11018,1,2
sub-10963,1,2
sub-10873,1,2
sub-10917,1,2
sub-10875,1,2
sub-10890,1,2
sub-10891,1,2
sub-10893,1,2
sub-10903,1,2
sub-10951,1,2
sub-10925,1,2
sub-10928,1,2
sub-10930,1,2
sub-10934,1,2
sub-10936,1,2
sub-10758,1,2
sub-10751,1,2
sub-11115,1,2
sub-11156,1,2
sub-11149,1,2
sub-11122,1,2
sub-11120,1,2
sub-11054,1,2
sub-11160,1,2
sub-10612,1,2
sub-10615,1,2
sub-10620,1,2
sub-11159,1,2
sub-11161,1,2
sub-10627,1,2
sub-11239,1,2
sub-11207,1,2
sub-11173,1,2
sub-10622,1,2
sub-10631,1,2
sub-10747,1,2
sub-10693,1,2
sub-10698,1,2
sub-10700,1,2
sub-10701,1,2
sub-10712,1,2
sub-10713,1,2
sub-10718,1,2
sub-10740,1,2
sub-10744,1,2
sub-10746,1,2
sub-10634,1,2
sub-10657,1,2
sub-10637,1,2
sub-10646,1,2
sub-10648,1,2
sub-10650,1,2
sub-10654,1,2
sub-10659,1,2
sub-10665,1,2
sub-10671,1,2
sub-10675,1,2
sub-10680,1,2
sub-10684,1,2
sub-11038,1,2
sub-10615,2,3
sub-10617,2,3
sub-11171,2,3
sub-11207,2,3
sub-11227,2,3
sub-11244,2,3
sub-11325,2,3
sub-11329,2,3
sub-11455,2,3
sub-11723,2,3
sub-11830,2,3
sub-11843,2,3
sub-11914,2,3
sub-11170,2,3
sub-11161,2,3
sub-11159,2,3
sub-11156,2,3
sub-10693,2,3
sub-10695,2,3
sub-10698,2,3
sub-10701,2,3
sub-10703,2,3
sub-10710,2,3
sub-10712,2,3
sub-10718,2,3
sub-10744,2,3
sub-10746,2,3
sub-10749,2,3
sub-10754,2,3
sub-10761,2,3
sub-10762,2,3
sub-10766,2,3
sub-10772,2,3
sub-10773,2,3
sub-10785,2,3
sub-10786,2,3
sub-10685,2,3
sub-10683,2,3
sub-10675,2,3
sub-10644,2,3
sub-10627,2,3
sub-10631,2,3
sub-10632,2,3
sub-10634,2,3
sub-10643,2,3
sub-10646,2,3
sub-10648,2,3
sub-10650,2,3
sub-10651,2,3
sub-10654,2,3
sub-10655,2,3
sub-10659,2,3
sub-10662,2,3
sub-10665,2,3
sub-10787,2,3
sub-10788,2,3
sub-10790,2,3
sub-10963,2,3
sub-10970,2,3
sub-10973,2,3
sub-10979,2,3
sub-10981,2,3
sub-10990,2,3
sub-11005,2,3
sub-11038,2,3
sub-10928,2,3
sub-11063,2,3
sub-11065,2,3
sub-11115,2,3
sub-11122,2,3
sub-11144,2,3
sub-11150,2,3
sub-10961,2,3
sub-10917,2,3
sub-10791,2,3
sub-10798,2,3
sub-10808,2,3
sub-10824,2,3
sub-10825,2,3
sub-10826,2,3
sub-10830,2,3
sub-10903,2,3
sub-10832,2,3
sub-10841,2,3
sub-10845,2,3
sub-10860,2,3
sub-10869,2,3
sub-10890,2,3
sub-20571,1,4
sub-20581,2,4
sub-20584,1,4
sub-20587,1,4
sub-20519,1,4
sub-20594,1,4
sub-20616,1,4
sub-20624,2,4
sub-20894,2,4
sub-21009,2,4
sub-21012,2,4
sub-20954,2,4
sub-20041,1,4
sub-20047,1,4
sub-20048,1,4
sub-20048,2,4
sub-20013,1,4
sub-20008,2,4
sub-20065,1,4
sub-20097,1,4
sub-20105,2,4
sub-20130,1,4
sub-20073,2,4
sub-20067,1,4
sub-20091,1,4
sub-20080,1,4
sub-20083,1,4
sub-20406,1,4
sub-20386,1,4
sub-20340,1,4
sub-20329,2,4
sub-20338,1,4
